etablissements;missions;formule;CA_HT;cout_mensuel;resultat_mensuel;resultat_par_mission;taux_resultat_sur_CA_pct;meilleure_formule
40;314;19 €/mission;5966;5265.3;700.7;2.2315;11.7449;False
40;314;299 €/établissement;11960;5265.3;6694.7;21.3207;55.9757;True
40;314;149 €/établissement + 9 €/mission;8786;5265.3;3520.7;11.2124;40.0717;False
40;315;19 €/mission;5985;5265.3;719.7;2.2848;12.025;False
40;315;299 €/établissement;11960;5265.3;6694.7;21.253;55.9757;True
40;315;149 €/établissement + 9 €/mission;8795;5265.3;3529.7;11.2054;40.133;False
40;500;19 €/mission;9500;5265.3;4234.7;8.4694;44.5758;False
40;500;299 €/établissement;11960;5265.3;6694.7;13.3894;55.9757;True
40;500;149 €/établissement + 9 €/mission;10460;5265.3;5194.7;10.3894;49.6625;False
40;600;19 €/mission;11400;5265.3;6134.7;10.2245;53.8131;False
40;600;299 €/établissement;11960;5265.3;6694.7;11.1578;55.9757;True
40;600;149 €/établissement + 9 €/mission;11360;5265.3;6094.7;10.1578;53.6505;False
40;750;19 €/mission;14250;5265.3;8984.7;11.9796;63.0505;True
40;750;299 €/établissement;11960;5265.3;6694.7;8.9263;55.9757;False
40;750;149 €/établissement + 9 €/mission;12710;5265.3;7444.7;9.9263;58.5735;False
40;1000;19 €/mission;19000;5265.3;13734.7;13.7347;72.2879;True
40;1000;299 €/établissement;11960;5265.3;6694.7;6.6947;55.9757;False
40;1000;149 €/établissement + 9 €/mission;14960;5265.3;9694.7;9.6947;64.8041;False
